timestamp,dc,bytesDownloaded
1745926627433,10,0
1745926628449,10,177900
1745926629437,10,339300
1745926630444,10,431750
1745926631439,10,685500
1745926632434,10,906000
1745926633434,10,1356550
1745926634444,10,1670600
1745926635439,10,1939350
1745926636436,10,2098350
1745926637447,10,2371650
1745926638442,10,2649200
1745926639446,10,3039150
1745926640439,10,3209800
1745926641439,10,3577400
1745926642448,10,3955900
1745926643439,10,4240800
1745926644434,10,4524050
1745926645443,10,4909050
1745926646445,10,5123300
1745926647445,10,5470950
1745926648438,10,5747100
1745926649449,10,6126300
1745926650442,10,6403450
1745926651439,10,6684550
1745926652448,10,6970000
1745926653444,10,7365300
1745926654441,10,7761250
1745926655435,10,8151050
1745926656439,10,8540750
1745926657448,10,8775050
1745926658442,10,8961800
1745926659443,10,9125750
1745926660446,10,9400100
1745926661439,10,9582400
1745926662442,10,9822450
1745926663440,10,9981250
1745926664434,10,10261800
1745926665443,10,10459750
1745926666438,10,10806000
1745926667445,10,10983050
1745926668441,10,11246000
1745926669438,10,11509650
1745926670442,10,11884900
1745926671449,10,12167050
1745926672441,10,12551750
1745926673447,10,12941000
1745926674436,10,13218850
1745926675439,10,13484950
1745926676444,10,13773200
1745926677440,10,14157750
1745926678449,10,14550950
1745926679445,10,14812050
1745926680437,10,15100000
1745926681448,10,15495350
1745926682437,10,15784300
1745926683446,10,16152450
1745926684443,10,16428900
1745926685435,10,16651550
1745926686438,10,16979200
1745926687447,10,17375700
1745926688439,10,17767250
1745926689441,10,18053600
1745926690446,10,18400450
1745926691440,10,18716000
1745926692448,10,18994400
1745926693440,10,19379550
1745926694436,10,19664450
1745926695444,10,20052900
1745926696450,10,20332600
1745926697440,10,20713850
1745926698447,10,21002450
1745926699441,10,21388950
1745926700446,10,21784800
1745926701439,10,22173750
1745926702451,10,22575450
1745926703446,10,22962950
1745926704436,10,23239000
1745926705447,10,23638800
1745926706436,10,23912450
1745926707446,10,24189200
1745926708444,10,24515900
1745926709440,10,24863900
1745926710439,10,25140950
1745926711448,10,25544300
1745926712444,10,25816050
1745926713442,10,26100100
1745926714451,10,26506100
1745926715444,10,26790350
1745926716439,10,27190150
1745926717440,10,27477300
1745926718446,10,27867900
1745926719441,10,28032900
1745926720437,10,28428700
1745926721449,10,28717150
1745926722444,10,28990450
1745926723438,10,29262650
1745926724451,10,29657700
1745926725445,10,29756750
1745926726444,10,29929050
1745926727443,10,30140050
1745926728450,10,30490200
1745926729445,10,30920000
1745926730451,10,31124900
1745926731442,10,31456850
1745926732450,10,31804800
1745926733441,10,32045050
1745926734446,10,32328800
