timestamp,active,P,T,Cs
1745926624815,0,0,200,10,5
1745926625823,0,0,200,10,5
1745926626831,0,0,200,10,5
1745926627825,2,0,200,10,5
1745926628830,2,0,200,10,5
1745926629825,1,0,200,10,5
1745926630817,2,0,200,10,5
1745926631830,5,0,200,10,5
1745926632825,5,0,200,10,5
1745926633823,5,0,200,10,5
1745926634820,1,0,200,10,5
1745926635826,2,0,200,10,5
1745926636824,5,0,200,10,5
1745926637820,2,0,200,10,5
1745926638829,5,0,200,10,5
1745926639819,1,0,200,10,5
1745926640821,5,0,200,10,5
1745926641828,5,0,200,10,5
1745926642817,1,0,200,10,5
1745926643829,5,0,200,10,5
1745926644823,5,0,200,10,5
1745926645829,1,0,200,10,5
1745926646819,5,0,200,10,5
1745926647819,5,0,200,10,5
1745926648825,5,0,200,10,5
1745926649822,1,0,200,10,5
1745926650829,1,0,200,10,5
1745926651829,5,0,200,10,5
1745926652823,5,0,200,10,5
1745926653818,5,0,200,10,5
1745926654830,5,0,200,10,5
1745926655822,5,0,200,10,5
1745926656825,1,0,200,10,5
1745926657821,5,0,200,10,5
1745926658830,5,0,200,10,5
1745926659827,5,0,200,10,5
1745926660819,1,0,200,10,5
1745926661825,1,0,200,10,5
1745926662830,5,0,200,10,5
1745926663826,1,0,200,10,5
1745926664822,1,0,200,10,5
1745926665831,5,0,200,10,5
1745926666827,1,0,200,10,5
1745926667820,5,0,200,10,5
1745926668829,5,0,200,10,5
1745926669824,5,0,200,10,5
1745926670829,1,0,200,10,5
1745926671824,5,0,200,10,5
1745926672826,5,0,200,10,5
1745926673819,5,0,200,10,5
1745926674820,2,0,200,10,5
1745926675827,5,0,200,10,5
1745926676818,5,0,200,10,5
1745926677831,5,0,200,10,5
1745926678823,5,0,200,10,5
1745926679818,5,0,200,10,5
1745926680824,5,0,200,10,5
1745926681818,5,0,200,10,5
1745926682826,5,0,200,10,5
1745926683820,5,0,200,10,5
1745926684829,1,0,200,10,5
1745926685820,5,0,200,10,5
1745926686826,5,0,200,10,5
1745926687819,5,0,200,10,5
1745926688824,5,0,200,10,5
1745926689828,5,0,200,10,5
1745926690833,5,0,200,10,5
1745926691828,2,0,200,10,5
1745926692832,5,0,200,10,5
1745926693828,1,0,200,10,5
1745926694825,5,0,200,10,5
1745926695831,5,0,200,10,5
1745926696823,5,0,200,10,5
1745926697828,1,0,200,10,5
1745926698818,5,0,200,10,5
1745926699830,5,0,200,10,5
1745926700820,5,0,200,10,5
1745926701828,5,0,200,10,5
1745926702825,5,0,200,10,5
1745926703833,5,0,200,10,5
1745926704825,5,0,200,10,5
1745926705831,5,0,200,10,5
1745926706824,5,0,200,10,5
1745926707821,5,0,200,10,5
1745926708832,5,0,200,10,5
1745926709829,5,0,200,10,5
1745926710827,5,0,200,10,5
1745926711821,5,0,200,10,5
1745926712820,5,0,200,10,5
1745926713826,5,0,200,10,5
1745926714824,1,0,200,10,5
1745926715832,5,0,200,10,5
1745926716824,1,0,200,10,5
1745926717827,5,0,200,10,5
1745926718832,1,0,200,10,5
1745926719831,5,0,200,10,5
1745926720827,5,0,200,10,5
1745926721821,5,0,200,10,5
1745926722832,5,0,200,10,5
1745926723826,5,0,200,10,5
1745926724824,5,0,200,10,5
1745926725820,5,0,200,10,5
1745926726833,5,0,200,10,5
1745926727829,0,0,200,10,5
1745926728828,5,0,200,10,5
1745926729832,5,0,200,10,5
1745926730822,5,0,200,10,5
1745926731829,0,0,200,10,5
1745926732820,5,0,200,10,5
1745926733829,5,0,200,10,5
1745926734820,0,0,200,10,5
1745926735831,0,0,200,10,5
