timestamp,active,P,T,Cs
1745929420961,0,0.200,10,5
1745929421970,0,0.200,10,5
1745929422970,0,0.200,10,5
1745929423972,0,0.200,10,5
1745929424967,0,0.200,10,5
1745929425962,0,0.200,10,5
1745929426976,0,0.200,10,5
1745929427975,0,0.200,10,5
1745929428973,0,0.200,10,5
1745929429973,0,0.200,10,5
1745929430969,0,0.200,10,5
1745929431962,5,0.200,10,5
1745929432972,0,0.200,10,5
1745929433967,1,0.200,10,5
1745929434973,5,0.200,10,5
1745929435968,2,0.200,10,5
1745929436965,5,0.200,10,5
1745929437976,5,0.200,10,5
1745929438970,2,0.200,10,5
1745929439963,0,0.200,10,5
1745929440974,0,0.200,10,5
1745929441971,0,0.200,10,5
1745929442966,0,0.200,10,5
1745929443976,0,0.200,10,5
1745929444972,0,0.200,10,5
1745929445968,0,0.200,10,5
1745929446966,0,0.200,10,5
1745929447962,0,0.200,10,5
1745929448974,0,0.200,10,5
1745929449970,0,0.200,10,5
1745929450967,0,0.200,10,5
1745929451964,0,0.200,10,5
1745929452977,0,0.200,10,5
1745929453972,0,0.200,10,5
1745929454969,0,0.200,10,5
1745929455964,0,0.200,10,5
1745929456977,0,0.200,10,5
1745929457971,0,0.200,10,5
1745929458968,0,0.200,10,5
1745929459977,0,0.200,10,5
1745929460975,0,0.200,10,5
1745929461973,0,0.200,10,5
1745929462973,0,0.200,10,5
1745929463973,0,0.200,10,5
1745929464967,0,0.200,10,5
1745929465963,0,0.200,10,5
1745929466974,0,0.200,10,5
1745929467966,0,0.200,10,5
1745929468967,0,0.200,10,5
1745929469963,0,0.200,10,5
1745929470974,0,0.200,10,5
1745929471968,0,0.200,10,5
1745929472964,0,0.200,10,5
1745929473969,0,0.200,10,5
1745929474966,0,0.200,10,5
1745929475976,0,0.200,10,5
1745929476971,0,0.200,10,5
1745929477968,0,0.200,10,5
1745929478977,0,0.200,10,5
1745929479971,0,0.200,10,5
1745929480966,0,0.200,10,5
1745929481973,0,0.200,10,5
1745929482967,0,0.200,10,5
1745929483973,0,0.200,10,5
1745929484967,0,0.200,10,5
1745929485972,0,0.200,10,5
1745929486971,0,0.200,10,5
1745929487964,0,0.200,10,5
1745929488973,0,0.200,10,5
1745929489964,0,0.200,10,5
1745929490964,0,0.200,10,5
1745929491974,0,0.200,10,5
1745929492969,0,0.200,10,5
1745929493967,0,0.200,10,5
1745929494962,0,0.200,10,5
1745929495974,0,0.200,10,5
1745929496972,0,0.200,10,5
1745929497965,0,0.200,10,5
1745929498974,0,0.200,10,5
1745929499972,0,0.200,10,5
1745929500967,0,0.200,10,5
1745929501963,0,0.200,10,5
1745929502963,0,0.200,10,5
1745929503973,0,0.200,10,5
1745929504971,0,0.200,10,5
1745929505969,0,0.200,10,5
1745929506965,0,0.200,10,5
1745929507975,0,0.200,10,5
1745929508972,0,0.200,10,5
1745929509970,0,0.200,10,5
1745929510965,0,0.200,10,5
1745929511962,0,0.200,10,5
1745929512973,0,0.200,10,5
1745929513972,0,0.200,10,5
1745929514969,0,0.200,10,5
1745929515963,0,0.200,10,5
1745929516973,0,0.200,10,5
1745929517969,0,0.200,10,5
1745929518964,0,0.200,10,5
1745929519977,0,0.200,10,5
1745929520971,0,0.200,10,5
1745929521971,0,0.200,10,5
1745929522970,0,0.200,10,5
1745929523964,0,0.200,10,5
1745929524975,0,0.200,10,5
1745929525971,0,0.200,10,5
1745929526967,0,0.200,10,5
1745929527976,0,0.200,10,5
1745929528969,0,0.200,10,5
1745929529966,0,0.200,10,5
1745929530973,0,0.200,10,5
1745929531963,0,0.200,10,5
1745929532973,0,0.200,10,5
1745929533964,0,0.200,10,5
1745929534973,0,0.200,10,5
1745929535966,0,0.200,10,5
1745929536969,0,0.200,10,5
1745929537976,0,0.200,10,5
1745929538972,0,0.200,10,5
1745929539976,0,0.200,10,5
1745929540965,0,0.200,10,5
1745929541975,0,0.200,10,5
1745929542973,0,0.200,10,5
1745929543963,0,0.200,10,5
1745929544963,0,0.200,10,5
1745929545966,0,0.200,10,5
1745929546977,0,0.200,10,5
1745929547974,0,0.200,10,5
1745929548970,0,0.200,10,5
1745929549968,0,0.200,10,5
1745929550966,0,0.200,10,5
1745929551967,0,0.200,10,5
1745929552968,0,0.200,10,5
1745929553969,0,0.200,10,5
1745929554969,0,0.200,10,5
1745929555969,0,0.200,10,5
1745929556969,0,0.200,10,5
1745929557968,0,0.200,10,5
1745929558968,0,0.200,10,5
1745929559972,0,0.200,10,5
1745929560973,0,0.200,10,5
1745929561970,0,0.200,10,5
1745929562973,0,0.200,10,5
1745929563977,0,0.200,10,5
1745929564967,0,0.200,10,5
1745929565973,0,0.200,10,5
1745929566977,0,0.200,10,5
1745929567976,0,0.200,10,5
1745929568973,0,0.200,10,5
1745929569971,0,0.200,10,5
1745929570967,0,0.200,10,5
1745929571978,0,0.200,10,5
1745929572973,0,0.200,10,5
1745929573968,0,0.200,10,5
1745929574974,0,0.200,10,5
1745929575975,0,0.200,10,5
1745929576976,0,0.200,10,5
1745929577967,0,0.200,10,5
1745929578979,0,0.200,10,5
1745929579970,0,0.200,10,5
1745929580978,0,0.200,10,5
1745929581978,0,0.200,10,5
1745929582970,0,0.200,10,5
1745929583963,0,0.200,10,5
1745929584968,0,0.200,10,5
1745929585974,0,0.200,10,5
1745929586969,0,0.200,10,5
1745929587970,0,0.200,10,5
1745929588974,0,0.200,10,5
1745929589977,0,0.200,10,5
